input_order,source_prediction_index,numbering_index,target_id,standard_structure_id,original_structure_id,original_filename,source_path,input_pdb_path,source_af2_path,source_af2_match,plddt_filter_scope_requested,plddt_filter_scope_applied,plddt_filter_pdb_path,plddt_source_status,rank,model,seed
21,,21,AqTMK,AqTMK_AF2_0021,AqTMK.AF2rank21,AqTMK.AF2rank21.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank21.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank21.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.20.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.20.pdb,manifest_unique_filename,,,
22,,22,AqTMK,AqTMK_AF2_0022,AqTMK.AF2rank22,AqTMK.AF2rank22.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank22.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank22.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.21.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.21.pdb,manifest_unique_filename,,,
23,,23,AqTMK,AqTMK_AF2_0023,AqTMK.AF2rank23,AqTMK.AF2rank23.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank23.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank23.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.22.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.22.pdb,manifest_unique_filename,,,
24,,24,AqTMK,AqTMK_AF2_0024,AqTMK.AF2rank24,AqTMK.AF2rank24.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank24.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank24.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.23.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.23.pdb,manifest_unique_filename,,,
25,,25,AqTMK,AqTMK_AF2_0025,AqTMK.AF2rank25,AqTMK.AF2rank25.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank25.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank25.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.24.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.24.pdb,manifest_unique_filename,,,
26,,26,AqTMK,AqTMK_AF2_0026,AqTMK.AF2rank26,AqTMK.AF2rank26.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank26.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank26.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.25.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.25.pdb,manifest_unique_filename,,,
27,,27,AqTMK,AqTMK_AF2_0027,AqTMK.AF2rank27,AqTMK.AF2rank27.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank27.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank27.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.26.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.26.pdb,manifest_unique_filename,,,
28,,28,AqTMK,AqTMK_AF2_0028,AqTMK.AF2rank28,AqTMK.AF2rank28.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank28.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank28.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.27.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.27.pdb,manifest_unique_filename,,,
29,,29,AqTMK,AqTMK_AF2_0029,AqTMK.AF2rank29,AqTMK.AF2rank29.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank29.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank29.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.28.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.28.pdb,manifest_unique_filename,,,
30,,30,AqTMK,AqTMK_AF2_0030,AqTMK.AF2rank30,AqTMK.AF2rank30.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank30.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank30.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.29.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.29.pdb,manifest_unique_filename,,,
