merged_class,representative_structure_id,input_folder,input_source,topology_status,n_ligand_nodes,n_ligand_bond_edges,n_interaction_ligand_nodes,n_unattached_plip_ligand_nodes,unattached_plip_ligand_nodes,n_disconnected_ligand_entities,disconnected_ligand_entities,topology_message
class_11,AqTMK_88,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_88,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_12,AqTMK_37,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_37,step06_plip_folder,ok,21,18,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_13,AqTMK_228,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_228,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_14,AqTMK_2,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_2,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_15,AqTMK_9,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_9,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_16,AqTMK_15,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_15,step06_plip_folder,ok,21,18,13,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_17,AqTMK_17,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_17,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_18,AqTMK_28,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_28,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_19,AqTMK_38,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_38,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_20,AqTMK_77,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_77,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_21,AqTMK_5,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_5,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_22,AqTMK_23,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_23,step06_plip_folder,ok,21,18,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_23,AqTMK_214,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_214,step06_plip_folder,ok,21,18,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_24,AqTMK_128,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_128,step06_plip_folder,ok,21,18,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_25,AqTMK_207,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_207,step06_plip_folder,ok,21,18,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_26,AqTMK_217,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_217,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_27,AqTMK_246,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_246,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_28,AqTMK_261,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_261,step06_plip_folder,ok,21,18,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_29,AqTMK_281,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_281,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_30,AqTMK_69,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_69,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_31,AqTMK_87,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_87,step06_plip_folder,ok,21,18,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_32,AqTMK_95,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_95,step06_plip_folder,ok,21,18,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_33,AqTMK_111,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_111,step06_plip_folder,ok,21,18,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_34,AqTMK_139,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_139,step06_plip_folder,ok,21,18,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_35,AqTMK_156,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_156,step06_plip_folder,ok,21,18,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_36,AqTMK_197,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_197,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_37,AqTMK_173,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_173,step06_plip_folder,ok,21,18,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_38,AqTMK_208,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_208,step06_plip_folder,ok,21,18,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_39,AqTMK_223,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_223,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
