reference_class,structure_id,reference_representative_structure_id,class_size
class_6,GAC_152,GAC_2,140
class_6,GAC_153,GAC_2,140
class_6,GAC_154,GAC_2,140
class_6,GAC_155,GAC_2,140
class_6,GAC_156,GAC_2,140
class_6,GAC_159,GAC_2,140
class_6,GAC_164,GAC_2,140
class_6,GAC_166,GAC_2,140
class_6,GAC_167,GAC_2,140
class_6,GAC_168,GAC_2,140
class_6,GAC_170,GAC_2,140
class_6,GAC_172,GAC_2,140
class_6,GAC_175,GAC_2,140
class_6,GAC_182,GAC_2,140
class_6,GAC_183,GAC_2,140
class_6,GAC_187,GAC_2,140
class_6,GAC_189,GAC_2,140
class_6,GAC_190,GAC_2,140
class_6,GAC_191,GAC_2,140
class_6,GAC_192,GAC_2,140
class_6,GAC_199,GAC_2,140
class_6,GAC_193,GAC_2,140
class_6,GAC_201,GAC_2,140
class_6,GAC_200,GAC_2,140
class_6,GAC_206,GAC_2,140
class_6,GAC_207,GAC_2,140
class_6,GAC_209,GAC_2,140
class_6,GAC_210,GAC_2,140
class_6,GAC_211,GAC_2,140
class_6,GAC_214,GAC_2,140
class_6,GAC_215,GAC_2,140
class_6,GAC_217,GAC_2,140
class_6,GAC_218,GAC_2,140
class_6,GAC_219,GAC_2,140
class_6,GAC_220,GAC_2,140
class_6,GAC_221,GAC_2,140
class_6,GAC_222,GAC_2,140
class_6,GAC_223,GAC_2,140
class_6,GAC_228,GAC_2,140
class_6,GAC_227,GAC_2,140
class_6,GAC_233,GAC_2,140
class_6,GAC_234,GAC_2,140
class_6,GAC_236,GAC_2,140
class_6,GAC_242,GAC_2,140
class_6,GAC_260,GAC_2,140
class_6,GAC_258,GAC_2,140
class_7,GAC_11,GAC_11,11
class_7,GAC_28,GAC_11,11
class_7,GAC_87,GAC_11,11
class_7,GAC_101,GAC_11,11
class_7,GAC_108,GAC_11,11
class_7,GAC_163,GAC_11,11
class_7,GAC_174,GAC_11,11
class_7,GAC_208,GAC_11,11
class_7,GAC_212,GAC_11,11
class_7,GAC_239,GAC_11,11
class_7,GAC_246,GAC_11,11
class_8,GAC_22,GAC_22,2
class_8,GAC_195,GAC_22,2
class_9,GAC_106,GAC_106,1
class_10,GAC_204,GAC_204,1
class_11,GAC_9,GAC_9,23
class_11,GAC_13,GAC_9,23
class_11,GAC_59,GAC_9,23
class_11,GAC_64,GAC_9,23
class_11,GAC_68,GAC_9,23
class_11,GAC_82,GAC_9,23
class_11,GAC_85,GAC_9,23
class_11,GAC_86,GAC_9,23
class_11,GAC_95,GAC_9,23
class_11,GAC_121,GAC_9,23
class_11,GAC_110,GAC_9,23
class_11,GAC_136,GAC_9,23
class_11,GAC_146,GAC_9,23
class_11,GAC_148,GAC_9,23
class_11,GAC_184,GAC_9,23
class_11,GAC_178,GAC_9,23
class_11,GAC_186,GAC_9,23
class_11,GAC_197,GAC_9,23
class_11,GAC_224,GAC_9,23
class_11,GAC_225,GAC_9,23
class_11,GAC_238,GAC_9,23
class_11,GAC_244,GAC_9,23
class_11,GAC_247,GAC_9,23
class_12,GAC_141,GAC_141,6
class_12,GAC_142,GAC_141,6
class_12,GAC_162,GAC_141,6
class_12,GAC_194,GAC_141,6
class_12,GAC_202,GAC_141,6
class_12,GAC_226,GAC_141,6
class_13,GAC_229,GAC_229,1
