merged_class,structure_id,file_type,source,action
class_4,GAC_105,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_105_complex.pdb,copy
class_4,GAC_105,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_4/GAC_105_final.txt,copy
class_4,GAC_128,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_128,copy
class_4,GAC_128,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_128_complex.pdb,copy
class_4,GAC_128,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_4/GAC_128_final.txt,copy
class_4,GAC_129,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_129,copy
class_4,GAC_129,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_129_complex.pdb,copy
class_4,GAC_129,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_4/GAC_129_final.txt,copy
class_4,GAC_171,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_171,copy
class_4,GAC_171,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_171_complex.pdb,copy
class_4,GAC_171,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_4/GAC_171_final.txt,copy
class_4,GAC_179,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_179,copy
class_4,GAC_179,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_179_complex.pdb,copy
class_4,GAC_179,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_4/GAC_179_final.txt,copy
class_4,GAC_254,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_254,copy
class_4,GAC_254,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_254_complex.pdb,copy
class_4,GAC_254,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_4/GAC_254_final.txt,copy
