standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
AqTMK_72,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_72_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_72,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_72/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_72_final.txt,21,21,9,30,14,18,31,success,
AqTMK_73,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_73_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_73,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_73/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_73_final.txt,21,21,9,30,14,18,31,success,
AqTMK_76,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_76_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_76,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_76/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_76_final.txt,21,21,9,30,14,18,31,success,
AqTMK_77,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_77_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_77,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_77/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_77_final.txt,21,21,11,32,19,18,36,success,
AqTMK_79,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_79_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_79,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_79/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_79_final.txt,21,21,9,30,15,18,32,success,
AqTMK_81,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_81_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_81,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_81/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_81_final.txt,21,21,9,30,15,18,32,success,
AqTMK_82,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_82_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_82,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_82/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_82_final.txt,21,21,9,30,15,18,32,success,
AqTMK_84,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_84_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_84,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_84/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_84_final.txt,21,21,9,30,15,18,32,success,
AqTMK_85,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_85_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_85,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_85/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_85_final.txt,21,21,9,30,15,18,32,success,
AqTMK_87,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_87_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_87,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_87/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_87_final.txt,21,21,9,30,16,18,33,success,
AqTMK_88,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_88_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_88,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_88/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_88_final.txt,21,21,12,33,20,18,37,success,
AqTMK_89,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_89_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_89,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_89/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_89_final.txt,21,21,9,30,15,18,32,success,
