standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
PTP1B_45,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_45_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_45,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_45/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_45_final.txt,17,17,9,26,12,17,29,success,
PTP1B_46,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_46_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_46,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_46/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_46_final.txt,17,17,9,26,12,17,29,success,
PTP1B_47,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_47_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_47,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_47/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_47_final.txt,17,17,9,26,12,17,29,success,
PTP1B_48,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_48_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_48,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_48/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_48_final.txt,17,17,9,26,12,17,29,success,
PTP1B_49,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_49_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_49,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_49/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_49_final.txt,17,17,9,26,12,17,29,success,
PTP1B_50,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_50_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_50,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_50/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_50_final.txt,17,17,10,27,13,17,30,success,
PTP1B_51,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_51_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_51,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_51/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_51_final.txt,17,17,10,27,14,17,31,success,
PTP1B_52,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_52_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_52,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_52/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_52_final.txt,17,17,9,26,13,17,30,success,
PTP1B_53,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_53_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_53,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_53/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_53_final.txt,17,17,10,27,14,17,31,success,
PTP1B_54,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_54_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_54,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_54/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_54_final.txt,17,17,9,26,13,17,30,success,
