standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
GAC_27,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_27_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_27,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_27/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_27_final.txt,10,10,7,17,10,9,19,success,
GAC_28,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_28_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_28,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_28/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_28_final.txt,10,10,8,18,10,9,19,success,
GAC_29,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_29_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_29,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_29/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_29_final.txt,10,10,7,17,10,9,19,success,
GAC_31,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_31_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_31,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_31/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_31_final.txt,10,10,7,17,10,9,19,success,
GAC_32,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_32_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_32,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_32/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_32_final.txt,10,10,7,17,10,9,19,success,
GAC_33,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_33_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_33,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_33/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_33_final.txt,10,10,7,17,10,9,19,success,
GAC_34,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_34_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_34,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_34/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_34_final.txt,10,10,7,17,10,9,19,success,
GAC_35,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_35_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_35,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_35/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_35_final.txt,10,10,7,17,10,9,19,success,
GAC_36,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_36_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_36,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_36/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_36_final.txt,10,10,8,18,11,9,20,success,
GAC_37,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_37_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_37,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_37/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_37_final.txt,10,10,7,17,10,9,19,success,
GAC_38,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_38_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_38,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_38/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_38_final.txt,10,10,8,18,11,9,20,success,
GAC_39,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_39_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_39,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_39/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_39_final.txt,10,10,7,17,10,9,19,success,
GAC_40,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_40_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_40,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_40/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_40_final.txt,10,10,7,17,10,9,19,success,
GAC_41,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_41_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_41,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_41/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_41_final.txt,10,10,7,17,10,9,19,success,
GAC_42,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_42_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_42,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_42/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_42_final.txt,10,10,7,17,10,9,19,success,
GAC_44,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_44_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_44,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_44/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_44_final.txt,10,10,7,17,9,9,18,success,
GAC_45,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_45_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_45,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_45/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_45_final.txt,10,10,7,17,10,9,19,success,
GAC_46,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_46_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_46,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_46/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_46_final.txt,10,10,7,17,10,9,19,success,
GAC_47,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_47_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_47,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_47/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_47_final.txt,10,10,7,17,10,9,19,success,
GAC_48,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_48_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_48,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_48/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_48_final.txt,10,10,7,17,10,9,19,success,
GAC_49,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_49_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_49,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_49/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_49_final.txt,10,10,7,17,10,9,19,success,
GAC_50,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_50_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_50,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_50/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_50_final.txt,10,10,7,17,10,9,19,success,
GAC_51,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_51_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_51,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_51/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_51_final.txt,10,10,7,17,10,9,19,success,
GAC_52,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_52_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_52,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_52/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_52_final.txt,10,10,7,17,10,9,19,success,
GAC_53,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_53_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_53,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_53/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_53_final.txt,10,10,7,17,10,9,19,success,
GAC_54,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_54_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_54,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_54/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_54_final.txt,10,10,7,17,10,9,19,success,
GAC_55,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_55_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_55,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_55/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_55_final.txt,10,10,7,17,10,9,19,success,
